#Game;ROM File;Music Banks;Driver;Pitch Effects;YM Levels;PSG Instruments;In-RAM pre-load;Timer Increment;YM Instruments;SSG-EG;Sample Table;Sample Count;Multi-bank;Sample Banks;SFX Offset;SFX count
Space Invaders 91;.\Space Invaders 91\Space Invaders 91.bin;34000;37400;B22;B0A;B89;1800;2;38036;false;38A50;9;false;38000;38593;28
Granada;.\Granada\Granada.bin;71400;6F700;F38;F20;F9F;0;3;7074C;false;70C47;15;true;78000;70E6E!;44
Darius II;.\Darius II\Darius II.bin;F9C00;F8000;F58;F40;FBF;0;3;F906C;false;F9503;15;true;E0000,E8000,F0000;F975A;35
Gynoug;.\Gynoug\Gynoug.bin;70000;77C00;F49;F31;105D;0;3;78C5D;false;793E2;18;true;78000;79621;31
Shining in the Darkness;.\Shining in the Darkness\Shining in the Darkness.bin;F8900;F22CC;115C;1144;11C3;0;3;F3755;true;F36ED;13;true;F0000;F8000;55
Langrisser;.\Langrisser\Langrisser.bin;78C00;7E400;F3F;F27;FA6;0;3;7F453;false;7FF7D;13;true;70000,78000;7FC74;27
Zero Wing;.\Zero Wing\Zero Wing.bin;C8000;C0000;1186;116E;11ED;0;3;C1483;true;C1433;10;true;C0000;C8040;29
Dino Land;.\Dino Land\Dino Land.bin;78600;7E400;113C;1124;11A3;0;3;7F8BC;true;7F7EC;26;true;68000,70000,78000;78000;45
Jewel Master;.\Jewel Master\Jewel Master.bin;78000;76100;1124;110C;118B;0;3;77521;true;7732D;8;true;70000;77ACB;35
Galaxy Force II;.\Galaxy Force II\Galaxy Force II.bin;F8000;F0000;1186;116E;11ED;0;3;F14BD;true;F1425;19;true;E0000,E8000,F0000,F8000;F8020;13
Ys III;.\Ys III\Ys III.bin;F8740,F0740;F6000;11B6;119E;121D;0;3;F0000,F8000;true;F7474;13;true;E8000;F74DC;16
Steel Empire;.\Steel Empire\Steel Empire.bin;D8000;D0000;1182;116A;11E9;0;3;D14FD;true;D1425;27;true;E0000,E8000,F0000,F8000;D8040;44
Shining Force;.\Shining Force\Shining Force.bin;178AE0,170000;176000;11E7;11CF;124E;0;3;178000;true;1774B4;8;true;168000;1774F4;46
Dial Q o Mawase!;.\Dial Q o Mawase!\Dial Q o Mawase!.bin;58000;56000;1182;116A;11E9;0;3;574AD;true;57425;17;true;40000,48000,50000;58040;26
Gley Lancer;.\Gley Lancer\Gley Lancer.bin;F937C,F2280;F6000;1230;1218;1297;0;3;F8000;true;F74E4;31;true;A0000,A8000,B0000,B8000,C0000,C8000,D0000,D8000,E0000,E8000;F75DC;56
Landstalker;.\Landstalker\Landstalker.bin;1F8910,1F0000;1F6000;11E3;11CB;124A;0;3;1F8000;true;1F74D4;24;true;1E0000,1E8000;1F7594;58
Snow Bros;.\Snow Bros\Snow Bros.bin;F937C,F2280;F6000;1230;1218;1297;0;3;F8000;true;F74E4;5;true;E8000;F750C;20
Ranger-X;.\Ranger-X\Ranger-X.bin;F8AE0,F2000;F6000;11F8;11E0;125F;0;3;F8000;true;F74A4;18;true;E0000,E8000,F0000;F7534;68
Kishi Densetsu;.\Kishi Densetsu\Kishi Densetsu.bin;F8AE0;F6000;11E7;11CF;124E;0;3;F8000;true;F7494;20;true;E0000,E8000,F0000;F7534;22
Shining Force II;.\Shining Force II\Shining Force II.bin;1F8000,1F0000;1EC000;124B;1233;12B2;0;0;1EB000;true;1ED535;17;true;1E0000,1E8000;1ED5BD;56
Dr Robotnik's Mean Bean Machine;.\Dr Robotnik's Mean Bean Machine\Dr Robotnik's Mean Bean Machine.bin;F937C;F6000;1248;1230;1294;0;3;F8000;true;F74E4;37;true;B0000,B8000,C0000,C8000,D0000,D8000,E0000,E8000;F760C;50
Maten no Soumetsu;.\Maten no Soumetsu\Maten no Soumetsu.bin;F8AE0;F6000;11E7;11CF;124E;0;3;F8000;true;F7494;15;true;E0000,E8000;F750C;49
Crusader of Centy;.\Crusader of Centy\Crusader of Centy.bin;1F8000,1F0000;1EE000;1295;127D;12FC;0;0;1F7000;true;1EF5BB;28;true;1D8000,1E0000,1E8000;1EC000;117
Lord Monarch;.\Lord Monarch\Lord Monarch.bin;1F8000,1F0000;1EE000;1295;127D;12FC;0;0;1ED000;true;1EF5BE;34;true;1C0000,1C8000,1D0000,1D8000,1E0000;1EC000;40
Langrisser II;.\Langrisser II\Langrisser II.bin;1F8000,1F0000,1E8000;1EC000;1295;127D;12FA;0;0;1EE000;true;1ED5BE;37;true;1C0000,1C8000,1D0000,1D8000,1E0000;1EF000;45
